High Growth,SOC Code,SOCTitle,Base Empl,Proj Empl,Percent Change,Total Openings,2011 Entry Wage,2011 Median Wage,Education/ Training Required,URL,O*NET Summary Report URL
X,29-1127,Speech-Language Pathologists,759,838,10.4,22,$20.76,$27.38,Master's degree,http://www.onetonline.org/link/summary/29-1127.00,http://www.onetonline.org/link/summary/29-1127.00
,43-3051,Payroll and Timekeeping Clerks,834,879,5.4,21,$11.89,$16.36,High school diploma or equivalent,http://www.onetonline.org/link/summary/43-3051.00,http://www.onetonline.org/link/summary/43-3051.00
,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",721,760,5.4,21,$15.52,$28.13,Bachelor's degree,http://www.onetonline.org/link/summary/41-4011.00,http://www.onetonline.org/link/summary/41-4011.00
,11-3071,"Transportation, Storage, and Distribution Managers",675,712,5.5,20,$21.65,$31.58,High school diploma or equivalent,http://www.onetonline.org/link/summary/11-3071.00,http://www.onetonline.org/link/summary/11-3071.00
,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",729,714,-2.1,20,$17.70,$23.96,High school diploma or equivalent,http://www.onetonline.org/link/summary/13-1023.00,http://www.onetonline.org/link/summary/13-1023.00
X,49-9052,Telecommunications Line Installers and Repairers,694,762,9.8,20,$14.81,$21.05,High school diploma or equivalent,http://www.onetonline.org/link/summary/49-9052.00,http://www.onetonline.org/link/summary/49-9052.00
X,15-2011,Actuaries,252,303,20.2,20,$21.75,$28.05,Bachelor's degree,http://www.onetonline.org/link/summary/15-2011.00,http://www.onetonline.org/link/summary/15-2011.00
,17-2051,Civil Engineers,831,862,3.7,20,$24.60,$32.97,Bachelor's degree,http://www.onetonline.org/link/summary/17-2051.00,http://www.onetonline.org/link/summary/17-2051.00
,25-4021,Librarians,755,757,0.3,20,$13.83,$21.24,Master's degree,http://www.onetonline.org/link/summary/25-4021.00,http://www.onetonline.org/link/summary/25-4021.00
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
